Фамилия;Имя, отчество.1;Имя, отчество.2;Login;Password;Role
Никифоров ;Всеволод;Иванович;loginDEjrm2018;Cpb+Im;3
Воронов ;Донат;Никитевич;loginDEpxl2018;P6h4Jq;1
Игнатьева ;Евгения;Валентиновна;loginDEwgk2018;&mfI9l;3
Буров ;Федот;Егорович;loginDEpou2018;gX3f5Z;1
Денисов ;Дамир;Филатович;loginDEabf2018;*Tasm+;3
Ершов ;Максим;Геласьевич;loginDEwjm2018;k}DJKo;3
Копылов ;Куприян;Пётрович;loginDEjvz2018;&|bGTy;2
Носов ;Валерьян;Дмитрьевич;loginDEuyv2018;8hhrZ};2
Силин ;Игорь;Авдеевич;loginDExdm2018;DH68L9;1
Дроздова ;Александра;Мартыновна;loginDEeiv2018;H*BxlS;2
Дроздов ;Аркадий;Геласьевич;loginDEfuc2018;VuM+QT;3
Боброва ;Варвара;Евсеевна;loginDEoot2018;usi{aT;2
Чернова ;Агата;Данииловна;loginDElhk2018;Okk0jY;2
Лыткина ;Ульяна;Станиславовна;loginDEazg2018;s3bb|V;3
Лаврентьев ;Леонид;Игнатьевич;loginDEaba2018;;1
Кулаков ;Юрий;Владленович;loginDEtco2018;tTKDJB;3
Соловьёв ;Андрей;Александрович;loginDEsyq2018;2QbpBN;2
Корнилова ;Марфа;Макаровна;loginDEpxi2018;+5X&hy;3
Белоусова ;Любовь;Георгьевна;loginDEicr2018;3+|Sn{;3
Анисимов ;Никита;Гордеевич;loginDEcui2018;Zi1Tth;2
Стрелкова ;Фаина;Федосеевна;loginDEpxc2018;G+nFsv;3
Осипов ;Евгений;Иванович;loginDEqrd2018;sApUbt;1
Владимирова ;Иванна;Павловна;loginDEsso2018;;2
Кудрявцева ;Жанна;Демьяновна;loginDErsy2018;{Aa6nS;2
Матвиенко ;Яков;Брониславович;loginDEvpz2018;mS0UxK;2
Селезнёв ;Егор;Артёмович;loginDEfog2018;glICay;3
Брагин ;Куприян;Митрофанович;loginDEpii2018;Ob}RZB;3
Гордеев ;Виктор;Эдуардович;loginDEhyk2018;*gN}Tc;1
Мартынов ;Онисим;Брониславович;loginDEdxi2018;ywLUbA;2
Никонова ;Евгения;Павловна;loginDEzro2018;B24s6o;2
Полякова ;Анна;Денисовна;loginDEuxg2018;K8jui7;3
Макарова ;Пелагея;Антониновна;loginDEllw2018;jNtNUr;3
Андреева ;Анна;Вячеславовна;loginDEddg2018;gGGhvD;1
Шилова ;Кира;Егоровна;loginDEyiw2018;cnj3QR;2
Ситников ;Игорь;Борисович;loginDEqup2018;95AU|R;1
Русаков ;Борис;Христофорович;loginDExil2018;w+++Ht;1
Капустина ;Ульяна;Игоревна;loginDEkuv2018;Ade++|;2
Беляков ;Семён;Германнович;loginDEmox2018;Je}9e7;2
Гурьев ;Ириней;Игнатьевич;loginDEvug2018;lEa{Cn;3
Мишин ;Христофор;Леонидович;loginDEzre2018;N*VX+G;3
Лазарева ;Антонина;Христофоровна;loginDEbes2018;NaVtyH;2
Маркова ;Ираида;Сергеевна;loginDEkfg2018;r1060q;3
Носкова ;Пелагея;Валерьевна;loginDEyek2018;KY2BL4;3
Баранов ;Станислав;Дмитрьевич;loginDEloq2018;NZV5WR;1
Ефремов ;Демьян;Артёмович;loginDEjfb2018;TNT+}h;2
Константинов ;Всеволод;Мэлсович;loginDEueq2018;GqAUZ6;2
Ситникова ;Ираида;Андреевна;loginDEpqz2018;F0Bp7F;2
Матвеев ;Кондрат;Иванович;loginDEovk2018;JyJM{A;1
